  x  |  y(x)  |  y'(x) |F1' - y'|F2' - y'| F1 - y | F2 - y | G - y  | H - y |
0.11 | 0.3316 | 1.5075 | 0.2966 | 0.0526 | 0.0031 | 0.001  | 0.0011 | 0.0027|
0.12 | 0.3464 | 1.4433 | 0.2087 | 0.0272 | 0.0057 | 0.0014 | 0.0022 | 0.0043|
0.13 | 0.3605 | 1.3867 | 0.1261 | 0.0083 | 0.0073 | 0.0015 | 0.0029 | 0.0047|
0.14 | 0.3741 | 1.3363 | 0.049  | 0.0054 | 0.0082 | 0.0015 | 0.0033 | 0.0043|
0.15 | 0.3872 | 1.2909 | 0.0224 | 0.015  | 0.0083 | 0.0014 | 0.0035 | 0.0035|
0.16 | 0.4    | 1.25   | 0.0884 | 0.0212 | 0.0078 | 0.0012 | 0.0033 | 0.0024|
0.17 | 0.4123 | 1.2126 | 0.149  | 0.0246 | 0.0066 | 0.001  | 0.0028 | 0.0013|
0.18 | 0.4242 | 1.1785 | 0.2045 | 0.0258 | 0.0048 | 0.0008 | 0.002  | 0.0004|
0.19 | 0.4358 | 1.147  | 0.2551 | 0.0252 | 0.0025 | 0.0005 | 0.001  | 0.0002|
0.2  | 0.4472 | 1.118  | 0.023  | 0.0346 | 0.0003 | 0.0003 | 0.0003 | 0.0003|
0.21 | 0.4582 | 1.091  | 0.0195 | 0.0251 | 0      | 0.0006 | 0.0003 | 0.0001|
0.22 | 0.469  | 1.066  | 0.015  | 0.0172 | 0.0001 | 0.0008 | 0.0003 | 0.0001|
0.23 | 0.4795 | 1.0425 | 0.0097 | 0.0107 | 0.0002 | 0.0009 | 0.0003 | 0.0001|
0.24 | 0.4898 | 1.0206 | 0.0036 | 0.0054 | 0.0003 | 0.001  | 0.0003 | 0.0002|
0.25 | 0.5    | 1      | 0.0031 | 0.0011 | 0.0003 | 0.001  | 0.0003 | 0.0003|
0.26 | 0.5099 | 0.9805 | 0.0102 | 0.0022 | 0.0003 | 0.001  | 0.0004 | 0.0005|
0.27 | 0.5196 | 0.9622 | 0.0177 | 0.0047 | 0.0001 | 0.001  | 0.0004 | 0.0006|
0.28 | 0.5291 | 0.9449 | 0.0256 | 0.0064 | 0.0001 | 0.0009 | 0.0005 | 0.0008|
0.29 | 0.5385 | 0.9284 | 0.0336 | 0.0075 | 0.0004 | 0.0009 | 0.0006 | 0.0008|
0.3  | 0.5477 | 0.9128 | 0.008  | 0.0086 | 0.0008 | 0.0008 | 0.0008 | 0.0008|
0.31 | 0.5567 | 0.898  | 0.008  | 0.005  | 0.0007 | 0.0008 | 0.0008 | 0.0007|
0.32 | 0.5656 | 0.8838 | 0.0076 | 0.002  | 0.0006 | 0.0009 | 0.0007 | 0.0007|
0.33 | 0.5744 | 0.8703 | 0.0067 | 0.0005 | 0.0005 | 0.0009 | 0.0007 | 0.0006|
0.34 | 0.583  | 0.8574 | 0.0054 | 0.0026 | 0.0005 | 0.0009 | 0.0007 | 0.0006|
0.35 | 0.5916 | 0.8451 | 0.0039 | 0.0042 | 0.0004 | 0.0008 | 0.0006 | 0.0006|
0.36 | 0.6    | 0.8333 | 0.002  | 0.0055 | 0.0004 | 0.0008 | 0.0006 | 0.0006|
0.37 | 0.6082 | 0.8219 | 0.0001 | 0.0064 | 0.0004 | 0.0007 | 0.0006 | 0.0006|
0.38 | 0.6164 | 0.8111 | 0.0025 | 0.007  | 0.0004 | 0.0007 | 0.0005 | 0.0006|
0.39 | 0.6244 | 0.8006 | 0.0051 | 0.0073 | 0.0004 | 0.0006 | 0.0005 | 0.0006|
0.4  | 0.6324 | 0.7905 | 0.0073 | 0.0025 | 0.0005 | 0.0005 | 0.0005 | 0.0005|
0.41 | 0.6403 | 0.7808 | 0.0071 | 0.0033 | 0.0004 | 0.0005 | 0.0005 | 0.0004|
0.42 | 0.648  | 0.7715 | 0.0066 | 0.0038 | 0.0004 | 0.0004 | 0.0004 | 0.0004|
0.43 | 0.6557 | 0.7624 | 0.006  | 0.0042 | 0.0003 | 0.0004 | 0.0003 | 0.0003|
0.44 | 0.6633 | 0.7537 | 0.0051 | 0.0043 | 0.0002 | 0.0004 | 0.0003 | 0.0003|
0.45 | 0.6708 | 0.7453 | 0.0041 | 0.0042 | 0.0002 | 0.0003 | 0.0003 | 0.0003|
0.46 | 0.6782 | 0.7372 | 0.0029 | 0.0039 | 0.0002 | 0.0003 | 0.0002 | 0.0002|
0.47 | 0.6855 | 0.7293 | 0.0016 | 0.0035 | 0.0001 | 0.0002 | 0.0002 | 0.0002|
0.48 | 0.6928 | 0.7216 | 0.0002 | 0.0029 | 0.0001 | 0.0002 | 0.0002 | 0.0002|
0.49 | 0.7    | 0.7142 | 0.0014 | 0.0022 | 0.0001 | 0.0002 | 0.0002 | 0.0002|
0.5  | 0.7071 | 0.7071 | 0.0013 | 0.0108 | 0.0002 | 0.0002 | 0.0002 | 0.0002|
0.51 | 0.7141 | 0.7001 | 0.0004 | 0.0093 | 0.0001 | 0.0003 | 0.0002 | 0.0002|
0.52 | 0.7211 | 0.6933 | 0.0007 | 0.0078 | 0.0001 | 0.0003 | 0.0002 | 0.0002|
0.53 | 0.728  | 0.6868 | 0.0019 | 0.0065 | 0.0002 | 0.0004 | 0.0003 | 0.0002|
0.54 | 0.7348 | 0.6804 | 0.0032 | 0.0054 | 0.0002 | 0.0005 | 0.0003 | 0.0003|
0.55 | 0.7416 | 0.6741 | 0.0046 | 0.0044 | 0.0002 | 0.0005 | 0.0004 | 0.0004|
0.56 | 0.7483 | 0.6681 | 0.0061 | 0.0035 | 0.0003 | 0.0006 | 0.0004 | 0.0004|
0.57 | 0.7549 | 0.6622 | 0.0076 | 0.0028 | 0.0003 | 0.0006 | 0.0005 | 0.0005|
0.58 | 0.7615 | 0.6565 | 0.0092 | 0.0022 | 0.0004 | 0.0006 | 0.0005 | 0.0006|
0.59 | 0.7681 | 0.6509 | 0.0109 | 0.0016 | 0.0005 | 0.0006 | 0.0006 | 0.0006|
0.6  | 0.7745 | 0.6454 | 0.0012 | 0.0046 | 0.0006 | 0.0006 | 0.0006 | 0.0006|
0.61 | 0.781  | 0.6401 | 0.0009 | 0.0036 | 0.0007 | 0.0007 | 0.0007 | 0.0007|
0.62 | 0.7874 | 0.635  | 0.0006 | 0.0026 | 0.0007 | 0.0007 | 0.0007 | 0.0007|
0.63 | 0.7937 | 0.6299 | 0.0005 | 0.0018 | 0.0007 | 0.0007 | 0.0007 | 0.0007|
0.64 | 0.8    | 0.6249 | 0.0004 | 0.001  | 0.0007 | 0.0008 | 0.0007 | 0.0007|
