  x  |  y(x)  |   y'(x)   | F1'(x) - y'(x) | F2'(x) - y'(x) |  F1(x) - y(x)  |  F2(x) - y(x)  |  G(x) - y(x)   |  H(x) - y(x)   |
0.11 | 0.331 | 1.507 | 0.296 | -0.053 | 0.003 | -0.001 | 0.001 | 0.002|
0.12 | 0.346 | 1.443 | 0.208 | -0.028 | 0.005 | -0.002 | 0.002 | 0.004|
0.13 | 0.36 | 1.386 | 0.126 | -0.009 | 0.007 | -0.002 | 0.002 | 0.004|
0.14 | 0.374 | 1.336 | 0.049 | 0.005 | 0.008 | -0.002 | 0.003 | 0.004|
0.15 | 0.387 | 1.29 | -0.023 | 0.015 | 0.008 | -0.002 | 0.003 | 0.003|
0.16 | 0.4 | 1.25 | -0.089 | 0.021 | 0.007 | -0.002 | 0.003 | 0.002|
0.17 | 0.412 | 1.212 | -0.149 | 0.024 | 0.006 | -0.001 | 0.002 | 0.001|
0.18 | 0.424 | 1.178 | -0.205 | 0.025 | 0.004 | -0.001 | 0.002 | 0|
0.19 | 0.435 | 1.147 | -0.256 | 0.025 | 0.002 | -0.001 | 0.001 | -0.001|
0.2 | 0.447 | 1.118 | 0.023 | -0.035 | -0.001 | -0.001 | -0.001 | -0.001|
0.21 | 0.458 | 1.091 | 0.019 | -0.026 | 0 | -0.001 | -0.001 | -0.001|
0.22 | 0.469 | 1.066 | 0.015 | -0.018 | 0 | -0.001 | -0.001 | -0.001|
0.23 | 0.479 | 1.042 | 0.009 | -0.011 | 0 | -0.001 | -0.001 | -0.001|
0.24 | 0.489 | 1.02 | 0.003 | -0.006 | 0 | -0.001 | -0.001 | -0.001|
0.25 | 0.5 | 1 | -0.004 | -0.002 | 0 | -0.001 | -0.001 | -0.001|
0.26 | 0.509 | 0.98 | -0.011 | 0.002 | 0 | -0.001 | -0.001 | -0.001|
0.27 | 0.519 | 0.962 | -0.018 | 0.004 | 0 | -0.001 | -0.001 | -0.001|
0.28 | 0.529 | 0.944 | -0.026 | 0.006 | -0.001 | -0.001 | -0.001 | -0.001|
0.29 | 0.538 | 0.928 | -0.034 | 0.007 | -0.001 | -0.001 | -0.001 | -0.001|
0.3 | 0.547 | 0.912 | 0.008 | -0.009 | -0.001 | -0.001 | -0.001 | -0.001|
0.31 | 0.556 | 0.898 | 0.008 | -0.005 | -0.001 | -0.001 | -0.001 | -0.001|
0.32 | 0.565 | 0.883 | 0.007 | -0.002 | -0.001 | -0.001 | -0.001 | -0.001|
0.33 | 0.574 | 0.87 | 0.006 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.34 | 0.583 | 0.857 | 0.005 | 0.002 | -0.001 | -0.001 | -0.001 | -0.001|
0.35 | 0.591 | 0.845 | 0.003 | 0.004 | -0.001 | -0.001 | -0.001 | -0.001|
0.36 | 0.6 | 0.833 | 0.002 | 0.005 | -0.001 | -0.001 | -0.001 | -0.001|
0.37 | 0.608 | 0.821 | -0.001 | 0.006 | -0.001 | -0.001 | -0.001 | -0.001|
0.38 | 0.616 | 0.811 | -0.003 | 0.007 | -0.001 | -0.001 | -0.001 | -0.001|
0.39 | 0.624 | 0.8 | -0.006 | 0.007 | -0.001 | -0.001 | -0.001 | -0.001|
0.4 | 0.632 | 0.79 | 0.007 | 0.002 | -0.001 | -0.001 | -0.001 | -0.001|
0.41 | 0.64 | 0.78 | 0.007 | 0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.42 | 0.648 | 0.771 | 0.006 | 0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.43 | 0.655 | 0.762 | 0.006 | 0.004 | -0.001 | -0.001 | -0.001 | -0.001|
0.44 | 0.663 | 0.753 | 0.005 | 0.004 | -0.001 | -0.001 | -0.001 | -0.001|
0.45 | 0.67 | 0.745 | 0.004 | 0.004 | -0.001 | -0.001 | -0.001 | -0.001|
0.46 | 0.678 | 0.737 | 0.002 | 0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.47 | 0.685 | 0.729 | 0.001 | 0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.48 | 0.692 | 0.721 | 0 | 0.002 | -0.001 | -0.001 | -0.001 | -0.001|
0.49 | 0.7 | 0.714 | -0.002 | 0.002 | -0.001 | -0.001 | -0.001 | -0.001|
0.5 | 0.707 | 0.707 | 0.001 | -0.011 | -0.001 | -0.001 | -0.001 | -0.001|
0.51 | 0.714 | 0.7 | 0 | -0.01 | -0.001 | -0.001 | -0.001 | -0.001|
0.52 | 0.721 | 0.693 | -0.001 | -0.008 | -0.001 | -0.001 | -0.001 | -0.001|
0.53 | 0.728 | 0.686 | -0.002 | -0.007 | -0.001 | -0.001 | -0.001 | -0.001|
0.54 | 0.734 | 0.68 | -0.004 | -0.006 | -0.001 | -0.001 | -0.001 | -0.001|
0.55 | 0.741 | 0.674 | -0.005 | -0.005 | -0.001 | -0.001 | -0.001 | -0.001|
0.56 | 0.748 | 0.668 | -0.007 | -0.004 | -0.001 | -0.001 | -0.001 | -0.001|
0.57 | 0.754 | 0.662 | -0.008 | -0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.58 | 0.761 | 0.656 | -0.01 | -0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.59 | 0.768 | 0.65 | -0.011 | -0.002 | -0.001 | -0.001 | -0.001 | -0.001|
0.6 | 0.774 | 0.645 | -0.002 | -0.005 | -0.001 | -0.001 | -0.001 | -0.001|
0.61 | 0.781 | 0.64 | -0.001 | -0.004 | -0.001 | -0.001 | -0.001 | -0.001|
0.62 | 0.787 | 0.635 | -0.001 | -0.003 | -0.001 | -0.001 | -0.001 | -0.001|
0.63 | 0.793 | 0.629 | -0.001 | -0.002 | -0.001 | -0.001 | -0.001 | -0.001|
0.64 | 0.8 | 0.624 | -0.001 | -0.001 | -0.001 | -0.001 | -0.001 | -0.001|
0.65 | 0.806 | 0.62 | -0.001 | -0.001 | -0.001 | -0.001 | -0.001 | -0.001|
0.66 | 0.812 | 0.615 | -0.001 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.67 | 0.818 | 0.61 | -0.001 | 0 | -0.001 | -0.001 | -0.001 | -0.001|
0.68 | 0.824 | 0.606 | -0.001 | 0.001 | -0.001 | -0.001 | -0.001 | -0.001|
